datetime,username,channel,message
2022-04-26T11:10:56.231805,themagnificentooshi,#thebausffs,oh no
2022-04-26T11:10:56.395921,partyforbro,#thebausffs,privat int OMEGALUL
2022-04-26T11:10:56.552638,blade7522,#thebausffs,This Kai'sa jungle is just out of this world... discovering a new meta probably :D
2022-04-26T11:10:56.552860,jafste,#thebausffs,kaisa troll xDD wtf
2022-04-26T11:10:56.709187,ekkochronobreak,#thebausffs,TARGET INT BAUS
2022-04-26T11:10:56.865921,ruined_stepking666,#thebausffs,paid actor x)
2022-04-26T11:10:56.866198,zhoresss,#thebausffs,"WOOWOWOWOOO!! we will see, how to contrplay Baus-Sion tactic???"
2022-04-26T11:10:56.866433,zerojustice,#thebausffs,LULW
2022-04-26T11:10:56.866626,dbaach,#thebausffs,wintrade
2022-04-26T11:10:56.866879,devon_hendryx,#thebausffs,REVENGE OMEGALUL
2022-04-26T11:10:54.599934,miufia,#thebausffs,: faker sends his regards leTroll faker sends his regards leTroll faker sends his regards leTroll faker sends his regards leTroll faker sends his regards leTroll .
2022-04-26T11:10:54.756426,eastop1,#thebausffs,!song
2022-04-26T11:10:54.913092,gherkinz,#thebausffs,faker sends his regards DESPAIR faker sends his regards DESPAIR faker sends his regards DESPAIR faker sends his regards DESPAIR faker sends his regards DESPAIR faker sends his regards DESPAIR faker sends his regards DESPAIR faker sends his regards DESPAIR
2022-04-26T11:10:54.913259,streamelements,#thebausffs,"I don't fking know, shazam or something you lazy fuck WeirdChamp"
2022-04-26T11:10:54.913382,arch_xyz7,#thebausffs,Aware
2022-04-26T11:10:54.913504,dovahthekiin,#thebausffs,Duck
2022-04-26T11:10:55.069600,bluerapido1,#thebausffs,hired assassin
2022-04-26T11:10:55.226242,n00b_except_faker,#thebausffs,VIKTOR ON ENEMY TEAM BTW
2022-04-26T11:10:55.226421,sheldyn_xcvi,#thebausffs,Troll
2022-04-26T11:10:55.226549,enemyflashtimerbot,#thebausffs,He's angry at you OMEGALUL
2022-04-26T11:10:55.382850,oakspeaker,#thebausffs,GameplayTime
2022-04-26T11:10:55.539358,aizshinzo,#thebausffs,VUKONG
2022-04-26T11:10:55.696002,likeclockwork_,#thebausffs,TARGET TROLLING DESPAIR
2022-04-26T11:10:55.918696,lud0bagman,#thebausffs,smirno3TROLL YAMMIN AND TROL smirno3TROLL YAMMIN AND TROL smirno3TROLL YAMMIN AND TROL
2022-04-26T11:10:52.980510,merm404,#thebausffs,he mad u beat him
2022-04-26T11:10:53.137145,littlemanval,#thebausffs,He got mad
2022-04-26T11:10:53.293971,pehpeyga,#xqcow,2022 OFFLINE CHAT Aware
2022-04-26T11:10:53.294127,caslty,#thebausffs,leTroll leTroll
2022-04-26T11:10:53.450566,kazal_d,#xqcow,LSOCCER PepeHands
2022-04-26T11:10:53.450744,shinoo_,#thebausffs,WHY leTroll
2022-04-26T11:10:53.607111,nodditoddi,#thebausffs,FAKER MERCENARY DESPAIR FAKER MERCENARY DESPAIR FAKER MERCENARY DESPAIR FAKER MERCENARY DESPAIR FAKER MERCENARY DESPAIR FAKER MERCENARY DESPAIR
2022-04-26T11:10:53.607286,sinepro,#thebausffs,They probably didnt change CHAMPS
2022-04-26T11:10:53.763829,abderrahimsued,#thebausffs,XD
2022-04-26T11:10:53.920368,silvan_007,#thebausffs,xD
2022-04-26T11:10:49.989941,lyzaee,#thebausffs,LAST GAME VIKTOR IS FIRST TIME SION LUL @Thebausffs
2022-04-26T11:10:50.146528,gotumirin,#thebausffs,leTroll
2022-04-26T11:10:50.146692,muzayli,#thebausffs,kaisa wants to lock his account i guess
2022-04-26T11:10:50.146835,wickz1,#thebausffs,Target int?
2022-04-26T11:10:50.303233,fusdreng,#thebausffs,5 games losstreak Kaisa OMEGALUL
2022-04-26T11:10:50.303439,tasin12345678,#thebausffs,wow
2022-04-26T11:10:50.459819,refuse73,#xqcow,@Exawion GIGACHAD
2022-04-26T11:10:50.616400,1comegetsome,#thebausffs,llllllol he's trolling
2022-04-26T11:10:50.616559,ruined_stepking666,#thebausffs,HAHA
2022-04-26T11:10:50.789704,frosch000,#thebausffs,:tf:
2022-04-26T11:10:50.946290,lud0bagman,#thebausffs,smirno3TROLL YAMMIN AND TROL smirno3TROLL YAMMIN AND TROL smirno3TROLL YAMMIN AND TROL smirno3TROLL YAMMIN AND TROL
2022-04-26T11:10:50.946493,a_rabid_unggoy,#thebausffs,@Thebausffs Don't worry dude Kaisa JGL stomps in my bronze games :)
2022-04-26T11:10:52.012954,holdmynescafe,#thebausffs,how old  is Simon?
2022-04-26T11:10:52.013205,tailung132,#thebausffs,faker sends his regards leTroll faker sends his regards leTroll faker sends his regards leTroll faker sends his regards leTroll faker sends his regards leTroll
2022-04-26T11:10:52.169623,obbraa,#thebausffs,VU KONG
2022-04-26T11:10:52.447264,lesupahobo,#thebausffs,PAID ACTOR
2022-04-26T11:10:52.708805,azooamps,#thebausffs,Aware ...
2022-04-26T11:14:09.148946,azooamps,#thebausffs,leTroll
2022-04-26T11:14:10.169752,leodebeer,#thebausffs,0/2 YEP its the champion
2022-04-26T11:14:10.169990,bakagaijin,#thebausffs,OMEGALYL
